"n_batch_kekka_dataid","s_syoriymd","s_kinou_id","n_syori_kekka_kbn","s_syori_comment"
1,"20200723","meigaramst_mnt",1,"処理件数：0件"
2,"20200723","meigaramst_mnt",1,"処理件数：0件"
3,"20200723","meigaramst_mnt",0,"処理件数：3875件"
4,"20200723","meigaramst_mnt",0,"処理件数：3875件"
5,"20200725","kabuka_input",0,"処理件数：3875件"
6,"20200725","kabuka_input",0,"処理件数：0件"
7,"20200725","kabuka_input",0,"処理件数：11件"
8,"20200725","kabuka_input",0,"処理件数：10件"
9,"20200725","kabuka_input",0,"処理件数：10件"
10,"20200725","kabuka_input",0,"処理件数：10件"
11,"20200725","kabuka_input",0,"処理件数：10件"
12,"20200725","kabuka_input",0,"処理件数：10件"
13,"20200725","kabuka_input",0,"処理件数：10件"
14,"20200725","kabuka_input",0,"処理件数：3件"
15,"20200725","kabuka_input",0,"処理件数：3件"
16,"20200725","kabuka_input",0,"処理件数：3件"
17,"20200725","kabuka_input",0,"処理件数：3件"
18,"20200725","kabuka_input",0,"処理件数：3件"
19,"20200725","kabuka_input",0,"処理件数：3件"
20,"20200725","kabuka_input",0,"処理件数：3件"
21,"20200725","kabuka_input",0,"処理件数：3件"
22,"20200725","kabuka_input",0,"処理件数：3件"
23,"20200725","kabuka_input",0,"処理件数：3件"
24,"20200725","kabuka_input",0,"処理件数：3件"
25,"20200725","kabuka_input",0,"処理件数：3件"
26,"20200725","kabuka_input",0,"処理件数：3件"
27,"20200725","kabuka_input",0,"処理件数：3件"
28,"20200725","kabuka_input",0,"処理件数：3件"
29,"20200725","kabuka_input",0,"処理件数：3件"
30,"20200725","kabuka_input",0,"処理件数：3件"
31,"20200725","kabuka_input",0,"処理件数：3件"
32,"20200725","kabuka_input",0,"処理件数：3件"
33,"20200725","kabuka_input",0,"処理件数：3件"
34,"20200725","kabuka_input",0,"処理件数：3件"
35,"20200725","kabuka_input",0,"処理件数：3件"
36,"20200725","kabuka_input",0,"処理件数：3件"
37,"20200725","kabuka_input",0,"処理件数：3件"
38,"20200725","kabuka_input",0,"処理件数：3件"
39,"20200725","kabuka_input",0,"処理件数：3件"
40,"20200725","kabuka_input",0,"処理件数：3件"
41,"20200725","kabuka_input",0,"処理件数：3件"
42,"20200725","kabuka_input",0,"処理件数：3件"
43,"20200725","kabuka_input",0,"処理件数：3件"
44,"20200725","kabuka_input",0,"処理件数：3件"
45,"20200725","kabuka_input",0,"処理件数：3件"
46,"20200725","kabuka_input",0,"処理件数：3件"
47,"20200725","kabuka_input",0,"処理件数：3件"
48,"20200725","kabuka_input",0,"処理件数：3件"
49,"20200725","kabuka_input",0,"処理件数：3件"
50,"20200725","kabuka_input",0,"処理件数：3件"
51,"20200725","kabuka_input",0,"処理件数：3件"
52,"20200725","kabuka_input",0,"処理件数：3件"
53,"20200722","kabuka_input",0,"処理件数：20件"
54,"20200722","kabuka_input",0,"処理件数：20件"
55,"20200722","kabuka_input",0,"処理件数：20件"
56,"20200722","tubuyaki_input",0,"処理件数：0件"
57,"20200722","tubuyaki_input",0,"処理件数：0件"
58,"20200722","tubuyaki_input",0,"処理件数：0件"
59,"20200722","tubuyaki_input",0,"処理件数：0件"
60,"20200722","tubuyaki_input",0,"処理件数：0件"
61,"20200722","tubuyaki_input",0,"処理件数：0件"
62,"20200722","tubuyaki_input",0,"処理件数：0件"
63,"20200722","tubuyaki_input",0,"処理件数：0件"
64,"20200722","tubuyaki_input",0,"処理件数：0件"
65,"20200722","tubuyaki_input",0,"処理件数：0件"
66,"20200722","tubuyaki_input",0,"処理件数：0件"
67,"20200722","tubuyaki_input",0,"処理件数：0件"
68,"20200722","tubuyaki_input",0,"処理件数：3件"
69,"20200722","tubuyaki_input",0,"処理件数：3件"
70,"20200722","tubuyaki_input",0,"処理件数：3件"
71,"20200722","tubuyaki_input",0,"処理件数：3件"
72,"20200722","tubuyaki_input",0,"処理件数：3件"
73,"20200722","tubuyaki_input",0,"処理件数：3件"
74,"20200722","tubuyaki_input",0,"処理件数：3件"
75,"20200722","tubuyaki_input",0,"処理件数：3件"
76,"20200722","tubuyaki_input",0,"処理件数：3件"
77,"20200722","tubuyaki_input",0,"処理件数：3件"
78,"20200722","tubuyaki_input",0,"処理件数：3件"
79,"20200722","tubuyaki_input",0,"処理件数：3件"
80,"20200722","tubuyaki_input",0,"処理件数：3件"
81,"20200722","tubuyaki_input",0,"処理件数：3件"
82,"20200722","tubuyaki_input",0,"処理件数：3件"
83,"20200722","tubuyaki_input",0,"処理件数：3件"
84,"20200722","tubuyaki_input",0,"処理件数：5件"
85,"20200722","tubuyaki_input",0,"処理件数：31件"
86,"20200727","kabuka_input",0,"処理件数：423件"
87,"20200727","tubuyaki_input",0,"処理件数：0件"
88,"20200727","tubuyaki_input",0,"処理件数：0件"
89,"20200727","tubuyaki_input",0,"処理件数：0件"
90,"20200727","tubuyaki_input",0,"処理件数：435件"
91,"20200728","kabuka_input",0,"処理件数：532件"
92,"20200728","kabuka_input",0,"処理件数：20件"
93,"20200728","kabuka_input",0,"処理件数：100件"
94,"20200728","kabuka_input",0,"処理件数：1000件"
95,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
96,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
97,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
98,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
99,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
100,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
101,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
102,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
103,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
104,"20200728","tubuyakiword_analysis",0,"処理件数：0件"
105,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
106,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
107,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
108,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
109,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
110,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
111,"20200728","tubuyakiword_analysis",0,"処理件数：1件"
112,"20200728","tubuyakiword_analysis",0,"処理件数：1192件"
113,"20200729","kabuka_input",0,"処理件数：1000件"
114,"20200729","tubuyaki_input",0,"処理件数：440件"
115,"20200730","tubuyaki_input",0,"処理件数：445件"
116,"20200730","tubuyakiword_analysis",0,"処理件数：1590件"
117,"20200731","kabuka_input",0,"処理件数：888件"
118,"20200731","tubuyaki_input",0,"処理件数：446件"
119,"20200731","tubuyakiword_analysis",0,"処理件数：446件"
120,"20200731","tubuyakiword_analysis",0,"処理件数：0件"
